image_id,image_url,file_path,file_size_kb,width,height,format,source
0,https://www.justsolar.com/wp-content/uploads/2024/03/solar-panels-need-sunlight.jpg,images_bing\000001.jpg,514.3,1000,667,JPEG,Bing Images
1,https://iirorwxhnnnmlo5m.ldycdn.com/cloud/joBpiKirljSRrkjpjrmnjn/1.jpg,images_bing\000002.jpg,464.82,800,800,JPEG,Bing Images
2,https://www.east-corp-philippines.com/wp-content/uploads/2011/04/solar1.jpg,images_bing\000003.jpg,316.25,1800,1350,JPEG,Bing Images
3,https://cdn.shopify.com/s/files/1/0493/9834/9974/files/home-solar-panels.jpg,images_bing\000004.jpg,360.94,1920,1340,JPEG,Bing Images
4,https://my.ybysolar.com/uploads/202238299/photovoltaic-solar-panels-for-home34475305654.jpg,images_bing\000005.jpg,121.05,800,800,JPEG,Bing Images
5,https://us.solarpanelsnetwork.com/blog/wp-content/uploads/2023/06/Solar-panels-photovoltaics-farm.jpg,images_bing\000006.jpg,549.95,2000,1336,JPEG,Bing Images
6,https://www.ijopower.com/wp-content/uploads/2024/05/Infographic-1.jpg,images_bing\000007.jpg,50.81,1400,941,JPEG,Bing Images
7,https://media.product.which.co.uk/prod/images/ar_2to1_1500x750/8ef62103ffbe-solar-panels4.jpg,images_bing\000008.jpg,279.55,1500,750,JPEG,Bing Images
8,https://tectumsolaris.com/wp-content/uploads/2024/07/Residential-solar-panel-applications.jpg,images_bing\000009.jpg,130.57,1024,679,JPEG,Bing Images
9,https://www.publicdomainpictures.net/pictures/250000/velka/solar-panels-151541185456U.jpg,images_bing\000010.jpg,1442.2,1920,1280,JPEG,Bing Images
10,https://www.inceptivemind.com/wp-content/uploads/2023/02/vertical-solar-panels.jpg,images_bing\000011.jpg,335.46,1500,999,JPEG,Bing Images
11,http://www.publicdomainpictures.net/pictures/140000/velka/rooftop-solar-panels.jpg,images_bing\000012.jpg,1016.45,1920,1318,JPEG,Bing Images
12,https://vistaelectricalcontrols.com.au/wp-content/uploads/2024/10/residential-solar-panel.jpg,images_bing\000013.jpg,34.01,612,408,JPEG,Bing Images
13,http://www.warmfrontltd.com/wp-content/uploads/2015/10/56123d83d79c2-1500x1125.jpg,images_bing\000014.jpg,1242.5,1500,1125,JPEG,Bing Images
14,https://www.huge-solar.com/huge-solar/2023/08/10/baner-3.jpg,images_bing\000015.jpg,220.01,1903,915,WEBP,Bing Images
15,https://solarvest.com/wp-content/uploads/2023/11/menu-residential-img.jpg,images_bing\000016.jpg,137.42,850,512,JPEG,Bing Images
16,https://www.rappler.com/tachyon/r3-assets/762510C659F3434491CA714C23DEAFA2/img/323D623CD40A497C9262E9624CF8B174/Solar-powered-homes-September-04-17-001.jpg,images_bing\000017.jpg,590.06,2048,1536,JPEG,Bing Images
17,http://www.loomsolar.com/cdn/shop/articles/solar_panel_18.jpg,images_bing\000018.jpg,384.59,1800,1000,JPEG,Bing Images
18,https://www.newpages2u.com/userfiles/18828/image/298451394_5435839113170912_2549131168985011735_n.jpg,images_bing\000019.jpg,90.47,1000,563,JPEG,Bing Images
19,https://images.saymedia-content.com/.image/t_share/MTc2NDUyNTc1MzI2MzgxMjY5/solar-panel-shopping-checklist.jpg,images_bing\000020.jpg,397.88,1200,798,JPEG,Bing Images
20,https://i.pinimg.com/originals/e2/41/50/e24150c0e22881f315a451d3f8a53ff1.jpg,images_bing\000021.jpg,370.07,1580,1125,JPEG,Bing Images
21,https://www.arch2o.com/wp-content/uploads/2023/11/Arch2O-transforming-energy-consumption-is-the-role-of-passive-and-active-solar-systems-in-sustainable-design-42-2048x1208.jpg,images_bing\000022.jpg,207.2,2048,1208,JPEG,Bing Images
22,https://www.chintglobal.com/content/dam/chintsite/global/en/about-us/news-center/blog/2023-q3/residential-solar-panel.jpg,images_bing\000023.jpg,156.7,1080,639,JPEG,Bing Images
23,https://i.ytimg.com/vi/peYLgOKYBM4/maxresdefault.jpg,images_bing\000024.jpg,222.78,1280,720,JPEG,Bing Images
24,https://www.ots-int.com/wp-content/uploads/2023/03/solar_panel_3d_render_40.jpg,images_bing\000025.jpg,505.89,1200,805,JPEG,Bing Images
25,https://www.gltech.co.th/images/ready-template/crop-1710117709508.jpg,images_bing\000026.jpg,302.25,1213,811,JPEG,Bing Images
